to_country,total_points,tele_points,jury_points,year,round
al,76,59.0,17.0,2023,final
am,122,53.0,69.0,2023,final
at,120,16.0,104.0,2023,final
au,151,21.0,130.0,2023,final
be,182,55.0,127.0,2023,final
ch,92,31.0,61.0,2023,final
cy,126,58.0,68.0,2023,final
cz,129,35.0,94.0,2023,final
de,18,15.0,3.0,2023,final
ee,168,22.0,146.0,2023,final
es,100,5.0,95.0,2023,final
fi,526,376.0,150.0,2023,final
fr,104,50.0,54.0,2023,final
gb,24,9.0,15.0,2023,final
hr,123,112.0,11.0,2023,final
il,362,185.0,177.0,2023,final
it,350,174.0,176.0,2023,final
lt,127,46.0,81.0,2023,final
md,96,76.0,20.0,2023,final
no,268,216.0,52.0,2023,final
pl,93,81.0,12.0,2023,final
pt,59,16.0,43.0,2023,final
rs,30,16.0,14.0,2023,final
se,583,243.0,340.0,2023,final
si,78,45.0,33.0,2023,final
ua,243,189.0,54.0,2023,final
